country,iso2c,iso3c,year,status,lastupdated,enrollment_primary,enrollment_secondary,enrollment_primary_f,enrollment_primary_m,pupil_teacher_ratio,out_of_school,literacy_rate,region,capital,longitude,latitude,income,lending
Ghana,GH,GHA,2000,,2024-06-25,NA,NA,NA,NA,26006,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2000,,2026-02-24,79.9403762817383,32.5775909423828,76.3413391113281,83.4527130126953,NA,34.4790916442871,57.9000015258789,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2001,,2024-06-25,NA,NA,NA,NA,26123,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2001,,2026-02-24,75.4195938110352,30.9433898925781,72.4266586303711,78.3417663574219,NA,39.5224685668945,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2002,,2024-06-25,NA,NA,NA,NA,25848,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2002,,2026-02-24,78.8475799560547,32.267578125,75.720832824707,81.9014205932617,NA,35.2796211242676,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2003,,2024-06-25,NA,NA,NA,NA,26409,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2003,,2026-02-24,76.3093490600586,33.6547889709473,73.464241027832,79.088981628418,NA,35.2729797363281,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2004,,2024-06-25,NA,NA,NA,NA,32296,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2004,,2026-02-24,80.2254409790039,36.1445503234863,76.9789199829102,83.3982696533203,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2005,,2024-06-25,NA,NA,NA,NA,27746,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2005,,2026-02-24,86.7024688720703,38.1276893615723,84.0598602294922,89.2856979370117,NA,29.2638492584229,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2006,,2024-06-25,NA,NA,NA,NA,38654,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2006,,2026-02-24,91.2332763671875,39.8474884033203,89.4916381835938,92.9360427856445,NA,26.8155899047852,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2007,,2024-06-25,NA,NA,NA,NA,35250,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2007,,2026-02-24,95.9956512451172,43.759521484375,94.2493133544922,97.7029266357422,NA,21.6305999755859,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2008,,2024-06-25,NA,NA,NA,NA,37143,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2008,,2026-02-24,100.841491699219,46.0595817565918,99.0458068847656,102.597152709961,NA,16.5170497894287,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2009,,2024-06-25,NA,NA,NA,NA,37220,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2009,,2026-02-24,99.0773620605469,47.9277191162109,97.3163681030273,100.799140930176,NA,16.9132099151611,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2010,,2024-06-25,NA,NA,NA,NA,44542,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2010,,2026-02-24,NA,NA,NA,NA,NA,NA,71.5,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2011,,2024-06-25,NA,NA,NA,NA,45651,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2011,,2026-02-24,99.4130783081055,55.6069297790527,97.9845809936523,100.810020446777,NA,11.2846919322893,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2012,,2024-06-25,NA,NA,NA,NA,45224,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2012,,2026-02-24,102.068698169955,56.7326017795109,97.797677459047,106.24643157909,NA,13.300734156805,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2013,,2024-06-25,NA,NA,NA,NA,49136,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2013,,2026-02-24,101.089456129828,68.1991424560547,100.048635591502,102.107854131695,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2014,,2024-06-25,NA,NA,NA,NA,52395,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2014,,2026-02-24,99.5600865756332,63.974569978053,98.5294552788797,100.568850119144,NA,9.497733186379,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2015,,2024-06-25,NA,NA,NA,NA,54039,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2015,,2026-02-24,103.213138177351,67.0486566518056,102.149867456304,104.254217655692,NA,NA,60.2198906165104,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2016,,2024-06-25,NA,NA,NA,NA,56590,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2016,,2026-02-24,101.751107525308,67.2644101341977,101.362113388767,102.132029108592,NA,0.242064536944613,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2017,,2024-06-25,NA,NA,NA,NA,65796,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2017,,2026-02-24,100.478896703055,66.6359450193038,99.9913543649594,100.956277392175,NA,6.84285514537015,64.4899978637695,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2018,,2024-06-25,NA,NA,NA,NA,67252,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2018,,2026-02-24,98.6813906905268,68.2222557975165,98.3121160000396,99.0428449507789,NA,8.17129370301409,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2019,,2024-06-25,NA,NA,NA,NA,72396,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2019,,2026-02-24,99.8750321985622,71.1877006008423,99.582530465668,100.161262304637,NA,5.51481162263524,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2020,,2024-06-25,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2020,,2026-02-24,98.4048952723908,74.0102186341371,98.2911597096255,98.5161672260357,NA,10.5618275440431,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2021,,2024-06-25,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2021,,2026-02-24,99.4509436572472,76.2084742091088,99.2798438002636,99.6183079362512,NA,9.94091987609863,76.4899978637695,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2022,,2024-06-25,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2022,,2026-02-24,98.2318953247047,77.8168696801948,96.837565132834,99.5955636413097,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2023,,2024-06-25,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
Ghana,GH,GHA,2023,,2026-02-24,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
